
28729,23456,31415,2024-12-06,2025-01-05
17129,23456,31415,2024-12-06,2025-01-05
60535,,12345,2024-12-06,2025-01-05
62041,23456,31415,2024-12-06,2025-01-05
46555,,12345,2024-12-06,2025-01-05
90169,23456,31415,2024-12-06,2025-01-05
82400,,12345,2024-12-06,2025-01-05
22553,L001,B003,2024-12-06,2025-01-05
18767,23456,31415,2024-12-06,2025-01-05
27094,,12345,2024-12-06,2025-01-05
42357,L001,B003,2024-12-06,2025-01-05
14165,23456,31415,2024-12-06,2025-01-05
39622,,12345,2024-12-06,2025-01-05
84369,L001,B003,2024-12-06,2025-01-05
85300,L001,non-existing-borrow-id,2024-12-06,2025-01-05
64593,23456,31415,2024-12-06,2025-01-05
42457,,12345,2024-12-06,2025-01-05
82638,L001,B003,2024-12-06,2025-01-05
37680,L001,non-existing-borrow-id,2024-12-06,2025-01-05
56420,23456,31415,2024-12-06,2025-01-05
84819,,12345,2024-12-06,2025-01-05
22997,L001,B003,2024-12-06,2025-01-05
61191,L001,non-existing-borrow-id,2024-12-06,2025-01-05
45694,L002,B002,2024-12-06,2025-01-05
72408,23456,31415,2024-12-06,2025-01-05
99274,,12345,2024-12-06,2025-01-05
23782,L001,B003,2024-12-06,2025-01-05
21889,L001,non-existing-borrow-id,2024-12-06,2025-01-05
52909,23456,31415,2024-12-06,2025-01-05
39739,,12345,2024-12-06,2025-01-05
85647,23456,31415,2024-12-06,2025-01-05
75085,,12345,2024-12-06,2025-01-05
27685,23456,31415,2024-12-06,2025-01-05
23067,,12345,2024-12-06,2025-01-05
10755,23456,31415,2024-12-06,2025-01-05
76501,,12345,2024-12-06,2025-01-05
81357,23456,31415,2024-12-06,2025-01-05
81104,,12345,2024-12-06,2025-01-05
39043,23456,31415,2024-12-06,2025-01-05
69159,,12345,2024-12-06,2025-01-05
81444,23456,31415,2024-12-06,2025-01-05
85852,,12345,2024-12-06,2025-01-05
79794,23456,31415,2024-12-06,2025-01-05
24564,,12345,2024-12-06,2025-01-05
45412,23456,31415,2024-12-06,2025-01-05
18878,,12345,2024-12-06,2025-01-05
75921,23456,31415,2024-12-06,2025-01-05
26701,,12345,2024-12-06,2025-01-05
79663,23456,31415,2024-12-06,2025-01-05
76599,,12345,2024-12-06,2025-01-05
